frame_index,cam_0_ts_ms,cam_1_ts_ms,cam_2_ts_ms,cam_3_ts_ms,playback_time_ms,latency_0_ms,latency_1_ms,latency_2_ms,latency_3_ms,sync_error_ms
214,1777425378717,1777425375548,1777425379058,1777425366959,1777425379602,885,4054,544,12643,12099
215,1777425378717,1777425375548,1777425379157,1777425366959,1777425379684,967,4136,527,12725,12198
216,1777425378717,1777425375548,1777425379190,1777425366959,1777425379765,1048,4217,575,12806,12231
217,1777425378717,1777425375548,1777425379368,1777425366959,1777425379846,1129,4298,478,12887,12409
218,1777425378717,1777425375548,1777425379368,1777425366959,1777425379927,1210,4379,559,12968,12409
219,1777425378717,1777425375548,1777425379427,1777425366959,1777425380008,1291,4460,581,13049,12468
220,1777425378717,1777425375548,1777425379568,1777425366959,1777425380090,1373,4542,522,13131,12609
221,1777425378717,1777425375548,1777425379755,1777425366959,1777425380171,1454,4623,416,13212,12796
222,1777425378717,1777425375548,1777425379795,1777425366959,1777425380253,1536,4705,458,13294,12836
223,1777425379860,1777425375548,1777425379861,1777425366959,1777425380334,474,4786,473,13375,12902
224,1777425379883,1777425375548,1777425379960,1777425366959,1777425380414,531,4866,454,13455,13001
225,1777425379897,1777425375548,1777425380091,1777425366959,1777425380495,598,4947,404,13536,13132
226,1777425379897,1777425375548,1777425380159,1777425366959,1777425380576,679,5028,417,13617,13200
227,1777425379897,1777425375548,1777425380232,1777425366959,1777425380658,761,5110,426,13699,13273
228,1777425379897,1777425375548,1777425380293,1777425366959,1777425380740,843,5192,447,13781,13334
229,1777425379897,1777425375548,1777425380346,1777425366959,1777425380821,924,5273,475,13862,13387
230,1777425379897,1777425375548,1777425380491,1777425366959,1777425380902,1005,5354,411,13943,13532
231,1777425379897,1777425375548,1777425380562,1777425366959,1777425380985,1088,5437,423,14026,13603
232,1777425379909,1777425375548,1777425380657,1777425366959,1777425381066,1157,5518,409,14107,13698
233,1777425380714,1777425375548,1777425380724,1777425366959,1777425381147,433,5599,423,14188,13765
234,1777425380750,1777425375548,1777425380793,1777425366959,1777425381226,476,5678,433,14267,13834
