frame_index,cam_0_ts_ms,cam_1_ts_ms,cam_2_ts_ms,cam_3_ts_ms,playback_time_ms,latency_0_ms,latency_1_ms,latency_2_ms,latency_3_ms,sync_error_ms
93,1777424307250,1777424299019,1777424308054,1777424308883,1777424309117,1867,10098,1063,234,9864
94,1777424307250,1777424299019,1777424308251,1777424308950,1777424309198,1948,10179,947,248,9931
95,1777424307250,1777424299019,1777424308251,1777424309085,1777424309279,2029,10260,1028,194,10066
96,1777424307250,1777424299019,1777424308251,1777424309085,1777424309360,2110,10341,1109,275,10066
97,1777424307250,1777424299019,1777424308251,1777424309217,1777424309442,2192,10423,1191,225,10198
98,1777424307250,1777424299019,1777424308251,1777424309273,1777424309523,2273,10504,1272,250,10254
99,1777424307250,1777424299019,1777424308251,1777424309482,1777424309604,2354,10585,1353,122,10463
100,1777424307250,1777424299019,1777424308251,1777424309482,1777424309684,2434,10665,1433,202,10463
101,1777424307250,1777424299019,1777424308251,1777424309573,1777424309765,2515,10746,1514,192,10554
102,1777424307250,1777424299019,1777424308752,1777424309739,1777424309847,2597,10828,1095,108,10720
103,1777424307250,1777424299019,1777424308752,1777424309781,1777424309927,2677,10908,1175,146,10762
104,1777424307250,1777424299019,1777424308752,1777424309815,1777424310008,2758,10989,1256,193,10796
105,1777424307250,1777424299019,1777424308752,1777424309982,1777424310090,2840,11071,1338,108,10963
106,1777424307250,1777424299019,1777424309452,1777424310039,1777424310171,2921,11152,719,132,11020
107,1777424307250,1777424299019,1777424309452,1777424310081,1777424310251,3001,11232,799,170,11062
108,1777424307250,1777424299019,1777424309452,1777424310248,1777424310333,3083,11314,881,85,11229
109,1777424307250,1777424299019,1777424309518,1777424310272,1777424310414,3164,11395,896,142,11253
110,1777424307250,1777424299019,1777424309556,1777424310384,1777424310496,3246,11477,940,112,11365
111,1777424307250,1777424299019,1777424309556,1777424310448,1777424310577,3327,11558,1021,129,11429
112,1777424307250,1777424299019,1777424309556,1777424310515,1777424310658,3408,11639,1102,143,11496
113,1777424307250,1777424299019,1777424309556,1777424310572,1777424310738,3488,11719,1182,166,11553
114,1777424307250,1777424299019,1777424309556,1777424310614,1777424310820,3570,11801,1264,206,11595
115,1777424307250,1777424299019,1777424309556,1777424310717,1777424310903,3653,11884,1347,186,11698
116,1777424307250,1777424299019,1777424309556,1777424310916,1777424310984,3734,11965,1428,68,11897
117,1777424307250,1777424299019,1777424309556,1777424311016,1777424311063,3813,12044,1507,47,11997
118,1777424307250,1777424299019,1777424309556,1777424311050,1777424311144,3894,12125,1588,94,12031
119,1777424307250,1777424299019,1777424309556,1777424311083,1777424311226,3976,12207,1670,143,12064
120,1777424307250,1777424299019,1777424309556,1777424311215,1777424311308,4058,12289,1752,93,12196
121,1777424307250,1777424299019,1777424309556,1777424311347,1777424311388,4138,12369,1832,41,12328
122,1777424307250,1777424299019,1777424310783,1777424311347,1777424311468,4218,12449,685,121,12328
123,1777424307250,1777424299019,1777424310951,1777424311439,1777424311550,4300,12531,599,111,12420
124,1777424307250,1777424299019,1777424310951,1777424311549,1777424311632,4382,12613,681,83,12530
125,1777424310739,1777424299019,1777424311083,1777424311549,1777424311713,974,12694,630,164,12530
126,1777424310739,1777424299019,1777424311083,1777424311549,1777424311795,1056,12776,712,246,12530
127,1777424310739,1777424299019,1777424311083,1777424311549,1777424311877,1138,12858,794,328,12530
128,1777424310739,1777424299019,1777424311083,1777424311650,1777424311958,1219,12939,875,308,12631
129,1777424310739,1777424299019,1777424311414,1777424311672,1777424312041,1302,13022,627,369,12653
130,1777424310739,1777424299019,1777424311479,1777424311749,1777424312123,1384,13104,644,374,12730
131,1777424310739,1777424299019,1777424311479,1777424311823,1777424312205,1466,13186,726,382,12804
