frame_index,cam_0_ts_ms,cam_1_ts_ms,playback_time_ms,latency_0_ms,latency_1_ms,sync_error_ms
157,1777497102718,1777497101190,1777497102882,164,1692,1528
158,1777497102784,1777497101190,1777497102940,156,1750,1594
159,1777497102817,1777497102187,1777497102999,182,812,630
160,1777497102882,1777497102187,1777497103056,174,869,695
161,1777497102947,1777497102187,1777497103113,166,926,760
162,1777497103019,1777497102187,1777497103171,152,984,832
163,1777497103019,1777497102187,1777497103229,210,1042,832
164,1777497103019,1777497102786,1777497103286,267,500,233
165,1777497103121,1777497102854,1777497103346,225,492,267
166,1777497103247,1777497102889,1777497103403,156,514,358
167,1777497103281,1777497102889,1777497103460,179,571,392
168,1777497103346,1777497102889,1777497103519,173,630,457
169,1777497103423,1777497102889,1777497103576,153,687,534
170,1777497103481,1777497102957,1777497103633,152,676,524
171,1777497103481,1777497102957,1777497103690,209,733,524
172,1777497103481,1777497103167,1777497103749,268,582,314
173,1777497103481,1777497103220,1777497103808,327,588,261
174,1777497103514,1777497103287,1777497103867,353,580,227
175,1777497103547,1777497103322,1777497103925,378,603,225
176,1777497103690,1777497103453,1777497103983,293,530,237
177,1777497103716,1777497103488,1777497104039,323,551,228
178,1777497103750,1777497103488,1777497104096,346,608,262
179,1777497103750,1777497103488,1777497104152,402,664,262
180,1777497103782,1777497103786,1777497104209,427,423,4
181,1777497103814,1777497103820,1777497104267,453,447,6
182,1777497103814,1777497103854,1777497104326,512,472,40
183,1777497103814,1777497103887,1777497104383,569,496,73
184,1777497103890,1777497103954,1777497104445,555,491,64
185,1777497103982,1777497103954,1777497104503,521,549,28
186,1777497104081,1777497103987,1777497104559,478,572,94
187,1777497104186,1777497103987,1777497104616,430,629,199
188,1777497104224,1777497103987,1777497104672,448,685,237
189,1777497104285,1777497103987,1777497104730,445,743,298
190,1777497104516,1777497103987,1777497104787,271,800,529
191,1777497104648,1777497103987,1777497104845,197,858,661
192,1777497104748,1777497103987,1777497104901,153,914,761
193,1777497104781,1777497103987,1777497104957,176,970,794
194,1777497104846,1777497103987,1777497105013,167,1026,859
195,1777497104918,1777497104056,1777497105069,151,1013,862
196,1777497104951,1777497104156,1777497105125,174,969,795
197,1777497105016,1777497104177,1777497105182,166,1005,839
198,1777497105016,1777497104253,1777497105239,223,986,763
199,1777497105081,1777497104253,1777497105296,215,1043,828
200,1777497105184,1777497104287,1777497105353,169,1066,897
201,1777497105250,1777497104321,1777497105409,159,1088,929
202,1777497105283,1777497104321,1777497105465,182,1144,962
203,1777497105348,1777497104321,1777497105521,173,1200,1027
204,1777497105413,1777497105055,1777497105578,165,523,358
205,1777497105480,1777497105055,1777497105634,154,579,425
206,1777497105480,1777497105152,1777497105693,213,541,328
207,1777497105579,1777497105187,1777497105750,171,563,392
208,1777497105649,1777497105221,1777497105806,157,585,428
209,1777497105713,1777497105255,1777497105863,150,608,458
210,1777497105713,1777497105255,1777497105920,207,665,458
211,1777497105815,1777497105322,1777497105982,167,660,493
212,1777497105884,1777497105344,1777497106040,156,696,540
213,1777497105945,1777497105344,1777497106096,151,752,601
