frame_index,cam_0_ts_ms,cam_1_ts_ms,playback_time_ms,latency_0_ms,latency_1_ms,sync_error_ms
171,1777496702767,1777496699175,1777496704057,1290,4882,3592
172,1777496702968,1777496699175,1777496704113,1145,4938,3793
173,1777496703100,1777496699175,1777496704169,1069,4994,3925
174,1777496703100,1777496699197,1777496704225,1125,5028,3903
175,1777496703239,1777496699265,1777496704282,1043,5017,3974
176,1777496703432,1777496699265,1777496704338,906,5073,4167
177,1777496703632,1777496699265,1777496704394,762,5129,4367
178,1777496703967,1777496699265,1777496704449,482,5184,4702
179,1777496703967,1777496699265,1777496704504,537,5239,4702
180,1777496704200,1777496699310,1777496704560,360,5250,4890
181,1777496704332,1777496699310,1777496704615,283,5305,5022
182,1777496704533,1777496699330,1777496704670,137,5340,5203
183,1777496704667,1777496699330,1777496704725,58,5395,5337
184,1777496704667,1777496699330,1777496704780,113,5450,5337
185,1777496704778,1777496699330,1777496704836,58,5506,5448
186,1777496704778,1777496699376,1777496704893,115,5517,5402
187,1777496704862,1777496699376,1777496704950,88,5574,5486
188,1777496704963,1777496699397,1777496705007,44,5610,5566
189,1777496704999,1777496699437,1777496705063,64,5626,5562
190,1777496705066,1777496699472,1777496705119,53,5647,5594
191,1777496705132,1777496699472,1777496705176,44,5704,5660
192,1777496705166,1777496699511,1777496705234,68,5723,5655
193,1777496705166,1777496699511,1777496705291,125,5780,5655
194,1777496705298,1777496699511,1777496705350,52,5839,5787
195,1777496705298,1777496699511,1777496705408,110,5897,5787
196,1777496705400,1777496699530,1777496705466,66,5936,5870
197,1777496705400,1777496699530,1777496705523,123,5993,5870
198,1777496705466,1777496699576,1777496705580,114,6004,5890
199,1777496705532,1777496699597,1777496705638,106,6041,5935
200,1777496705532,1777496699597,1777496705697,165,6100,5935
201,1777496705601,1777496699597,1777496705755,154,6158,6004
202,1777496705601,1777496699643,1777496705813,212,6170,5958
203,1777496705699,1777496699664,1777496705872,173,6208,6035
204,1777496705767,1777496699707,1777496705929,162,6222,6060
205,1777496705806,1777496699707,1777496705986,180,6279,6099
206,1777496705833,1777496699776,1777496706043,210,6267,6057
207,1777496705868,1777496699797,1777496706100,232,6303,6071
208,1777496705934,1777496699797,1777496706158,224,6361,6137
209,1777496705962,1777496699864,1777496706217,255,6353,6098
210,1777496706027,1777496699864,1777496706274,247,6410,6163
211,1777496706027,1777496699899,1777496706331,304,6432,6128
212,1777496706095,1777496699899,1777496706388,293,6489,6196
213,1777496706166,1777496699941,1777496706447,281,6506,6225
214,1777496706266,1777496699965,1777496706506,240,6541,6301
215,1777496706298,1777496699965,1777496706563,265,6598,6333
216,1777496706298,1777496699965,1777496706620,322,6655,6333
217,1777496706298,1777496700008,1777496706678,380,6670,6290
218,1777496706298,1777496700030,1777496706735,437,6705,6268
219,1777496706361,1777496700030,1777496706793,432,6763,6331
220,1777496706361,1777496700076,1777496706851,490,6775,6285
221,1777496706361,1777496700076,1777496706910,549,6834,6285
222,1777496706462,1777496700076,1777496706970,508,6894,6386
223,1777496706462,1777496700097,1777496707028,566,6931,6365
224,1777496706528,1777496700143,1777496707088,560,6945,6385
225,1777496706528,1777496700230,1777496707144,616,6914,6298
226,1777496706560,1777496700276,1777496707199,639,6923,6284
227,1777496706599,1777496700297,1777496707256,657,6959,6302
228,1777496706599,1777496700297,1777496707312,713,7015,6302
229,1777496706667,1777496700297,1777496707370,703,7073,6370
